date,symbol,day_flow_usd,sum21_usd,cumulative_usd
2024-03-21,IBIT,14121847,524920687,1564632855
2024-03-22,IBIT,10344518,511835020,1574977373
2024-03-25,IBIT,30852395,502079611,1605829768
2024-03-26,IBIT,14621038,496853646,1620450806
2024-03-27,IBIT,12291734,484143348,1632742540
2024-03-28,IBIT,23613774,496116905,1656356314
2024-03-29,IBIT,35044982,494892870,1691401296
2024-04-01,IBIT,31772264,500367950,1723173560
2024-04-02,IBIT,31793856,502862828,1754967416
2024-04-03,IBIT,13828833,481023914,1768796249
2024-04-04,IBIT,21910545,483176781,1790706794
2024-04-05,IBIT,24658163,486983207,1815364957
2024-04-08,IBIT,19719655,483665946,1835084612
2024-04-09,IBIT,36098460,499529954,1871183072
2024-04-10,IBIT,9871725,484139972,1881054797
2024-04-11,IBIT,17103417,472768976,1898158214
2024-04-12,IBIT,14823910,473315024,1912982124
2024-04-15,IBIT,15231922,445102225,1928214046
2024-04-16,IBIT,17753279,439745290,1945967325
2024-04-17,IBIT,10112751,415584972,1956080076
2024-04-18,IBIT,22678905,428247973,1978758981
2024-04-19,IBIT,9387778,423513904,1988146759
2024-04-22,IBIT,20824146,433993532,2008970905
2024-04-23,IBIT,16598546,419739683,2025569451
2024-04-24,IBIT,20662662,425781307,2046232113
2024-04-25,IBIT,13327264,426816837,2059559377
2024-04-26,IBIT,24799024,428002087,2084358401
2024-04-29,IBIT,10253909,403211014,2094612310
2024-04-30,IBIT,16631935,388070685,2111244245
2024-05-01,IBIT,32573329,388850158,2143817574
2024-05-02,IBIT,7274859,382296184,2151092433
2024-05-03,IBIT,24383028,384768667,2175475461
2024-05-06,IBIT,10329486,370439990,2185804947
2024-05-07,IBIT,27333170,378053505,2213138117
2024-05-08,IBIT,16353744,358308789,2229491861
2024-05-09,IBIT,25727653,374164717,2255219514
2024-05-10,IBIT,18376243,375437543,2273595757
2024-05-13,IBIT,28698465,389312098,2302294222
2024-05-14,IBIT,6681232,380761408,2308975454
2024-05-15,IBIT,17301214,380309343,2326276668
2024-05-16,IBIT,17545259,387741851,2343821927
2024-05-17,IBIT,6159001,371221947,2349980928
2024-05-20,IBIT,35410766,397244935,2385391694
2024-05-21,IBIT,9924395,386345184,2395316089
2024-05-22,IBIT,19501818,389248456,2414817907
2024-05-23,IBIT,9905787,378491581,2424723694
2024-05-24,IBIT,11117883,376282200,2435841577
2024-05-27,IBIT,13656281,365139457,2449497858
2024-05-28,IBIT,9349123,364234671,2458846981
2024-05-29,IBIT,17535894,365138630,2476382875
2024-05-30,IBIT,13620800,346186101,2490003675
2024-05-31,IBIT,11373860,350285102,2501377535
2024-06-03,IBIT,8631310,334533384,2510008845
2024-06-04,IBIT,16163921,340367819,2526172766
2024-06-05,IBIT,20029193,333063842,2546201959
2024-06-06,IBIT,16976490,333686588,2563178449
2024-06-07,IBIT,8752473,316711408,2571930922
2024-06-10,IBIT,33516059,331851224,2605446981
2024-06-11,IBIT,22508976,325661735,2627955957
2024-06-12,IBIT,6069928,325050431,2634025885
2024-06-13,IBIT,19407613,327156830,2653433498
2024-06-14,IBIT,10193302,319804873,2663626800
2024-06-17,IBIT,14238928,327884800,2677865728
2024-06-18,IBIT,25062595,317536629,2702928323
2024-06-19,IBIT,22473892,330086126,2725402215
2024-06-20,IBIT,18447899,329032207,2743850114
2024-06-21,IBIT,23797935,342924355,2767648049
2024-06-24,IBIT,7482109,339288581,2775130158
2024-06-25,IBIT,5696946,331329246,2780827104
2024-06-26,IBIT,26765449,348745572,2807592553
2024-06-27,IBIT,10686954,341896632,2818279507
2024-06-28,IBIT,10554243,338830075,2828833750
2024-07-01,IBIT,21104288,348560503,2849938038
2024-07-02,IBIT,13367414,353296607,2863305452
2024-07-03,IBIT,28645513,365778199,2891950965
2024-07-04,IBIT,23632946,369381952,2915583911
2024-07-05,IBIT,32055204,384460666,2947639115
2024-07-08,IBIT,17133166,392841359,2964772281
2024-07-09,IBIT,26903803,386229103,2991676084
2024-07-10,IBIT,11093602,374813729,3002769686
2024-07-11,IBIT,20020545,388764346,3022790231
2024-07-12,IBIT,5929649,375286382,3028719880
2024-07-15,IBIT,13668436,378761516,3042388316
2024-07-16,IBIT,22208943,386731531,3064597259
2024-07-17,IBIT,11799159,373468095,3076396418
2024-07-18,IBIT,30302913,381297116,3106699331
2024-07-19,IBIT,17235464,380084681,3123934795
2024-07-22,IBIT,10430698,366717444,3134365493
2024-07-23,IBIT,10719447,369954782,3145084940
2024-07-24,IBIT,8845696,373103532,3153930636
2024-07-25,IBIT,15385361,361723444,3169315997
2024-07-26,IBIT,18076201,369112691,3187392198
2024-07-29,IBIT,8904714,367463162,3196296912
2024-07-30,IBIT,16150439,362509313,3212447351
2024-07-31,IBIT,6907483,356049382,3219354834
2024-08-01,IBIT,7816380,335220249,3227171214
2024-08-02,IBIT,21725069,333312372,3248896283
2024-08-05,IBIT,26184693,327441861,3275080976
2024-08-06,IBIT,35931417,346240112,3311012393
2024-08-07,IBIT,20209330,339545639,3331221723
2024-08-08,IBIT,23584730,352036767,3354806453
2024-08-09,IBIT,32856488,364872710,3387662941
2024-08-12,IBIT,19897624,378840685,3407560565
2024-08-13,IBIT,10575401,375747650,3418135966
2024-08-14,IBIT,26739922,380278629,3444875888
2024-08-15,IBIT,17324346,385803816,3462200234
2024-08-16,IBIT,23900064,379400967,3486100298
2024-08-19,IBIT,24205922,386371425,3510306220
2024-08-20,IBIT,12285742,388226469,3522591962
2024-08-21,IBIT,16976983,394484005,3539568945
2024-08-22,IBIT,20249927,405888236,3559818872
2024-08-23,IBIT,26048445,416551320,3585867317
2024-08-26,IBIT,22217445,420692564,3608084762
2024-08-27,IBIT,19938784,431726634,3628023546
2024-08-28,IBIT,8935821,424512016,3636959367
2024-08-29,IBIT,13589438,431193971,3650548805
2024-08-30,IBIT,7653909,431031500,3658202714
2024-09-02,IBIT,18883947,428190378,3677086661
2024-09-03,IBIT,8588762,410594447,3685675423
2024-09-04,IBIT,21853496,396516526,3707528919
2024-09-05,IBIT,17254229,393561425,3724783148
2024-09-06,IBIT,21523787,391500482,3746306935
2024-09-09,IBIT,22193612,380837606,3768500547
2024-09-10,IBIT,15597308,376537290,3784097855
2024-09-11,IBIT,10720134,376682023,3794817989
2024-09-12,IBIT,24058068,374000169,3818876057
2024-09-13,IBIT,14943602,371619425,3833819659
2024-09-16,IBIT,17552848,365272209,3851372507
2024-09-17,IBIT,12357702,353423989,3863730209
2024-09-18,IBIT,14466650,355604897,3878196859
2024-09-19,IBIT,27466637,366094551,3905663496
2024-09-20,IBIT,17552225,363396849,3923215721
2024-09-23,IBIT,22102166,359450570,3945317887
2024-09-24,IBIT,31912623,369145748,3977230510
2024-09-25,IBIT,24680247,373887211,4001910757
2024-09-26,IBIT,7769876,372721266,4009680633
2024-09-27,IBIT,16705491,375837319,4026386124
2024-09-30,IBIT,28290911,396474321,4054677035
2024-10-01,IBIT,14067086,391657460,4068744121
2024-10-02,IBIT,19864905,402933603,4088609026
2024-10-03,IBIT,16339611,397419718,4104948637
2024-10-04,IBIT,8598725,388764214,4113547362
2024-10-07,IBIT,10835704,378076131,4124383066
2024-10-08,IBIT,28768915,384651434,4153151981
2024-10-09,IBIT,16614608,385668734,4169766589
2024-10-10,IBIT,9830876,384779476,4179597465
2024-10-11,IBIT,22860818,383582226,4202458283
2024-10-14,IBIT,14545611,383184235,4217003894
2024-10-15,IBIT,18164550,383795937,4235168444
2024-10-16,IBIT,9732789,381171024,4244901233
2024-10-17,IBIT,9449812,376154186,4254351045
2024-10-18,IBIT,21235657,369923206,4275586702
2024-10-21,IBIT,7915495,360286476,4283502197
2024-10-22,IBIT,27814782,365999092,4311316979
2024-10-23,IBIT,13977832,348064301,4325294811
2024-10-24,IBIT,11726233,335110287,4337021044
2024-10-25,IBIT,8579404,335919815,4345600448
2024-10-28,IBIT,14580335,333794659,4360180783
2024-10-29,IBIT,13538716,319042464,4373719499
2024-10-30,IBIT,17660330,322635708,4391379829
2024-10-31,IBIT,14522039,317292842,4405901868
2024-11-01,IBIT,22391199,323344430,4428293067
2024-11-05,IBIT,17228623,331974328,4445521690
2024-11-06,IBIT,25091450,346230074,4470613140
2024-11-07,IBIT,13336912,330798071,4483950052
2024-11-08,IBIT,8235968,322419431,4492186020
2024-11-09,IBIT,10402905,322991460,4502588925
2024-11-12,IBIT,12822478,312953120,4515411403
2024-11-13,IBIT,10662175,309069684,4526073578
2024-11-14,IBIT,10776643,301681777,4536850221
2024-11-15,IBIT,8330640,300279628,4545180861
2024-11-16,IBIT,21174980,312004796,4566355841
2024-11-19,IBIT,17588458,308357597,4583944299
2024-11-20,IBIT,8923138,309365240,4592867437
2024-11-21,IBIT,6300151,287850609,4599167588
2024-11-22,IBIT,10604234,284477011,4609771822
2024-11-23,IBIT,28347788,301098566,4638119610
2024-11-26,IBIT,17533399,310052561,4655653009
2024-11-27,IBIT,15112977,310585203,4670765986
2024-11-28,IBIT,16863566,313910053,4687629552
2024-11-29,IBIT,29135577,325385300,4716765129
2024-11-30,IBIT,17586128,328449389,4734351257
2024-12-03,IBIT,12195387,318253577,4746546644
2024-12-04,IBIT,6419023,307443977,4752965667
2024-12-05,IBIT,15787690,298140217,4768753357
2024-12-06,IBIT,19333859,304137164,4788087216
2024-12-07,IBIT,23453834,319355030,4811541050
2024-12-10,IBIT,9956984,318909109,4821498034
2024-12-11,IBIT,11263801,317350432,4832761835
2024-12-12,IBIT,21406522,328094779,4854168357
2024-12-13,IBIT,17717144,335035280,4871885501
2024-12-14,IBIT,26666120,353370760,4898551621
2024-12-17,IBIT,20583635,352779415,4919135256
2024-12-18,IBIT,10235834,345426791,4929371090
2024-12-19,IBIT,10339578,346843231,4939710668
2024-12-20,IBIT,11874349,352417429,4951585017
2024-12-21,IBIT,10359329,352172524,4961944346
2024-12-24,IBIT,19267462,343092198,4981211808
2024-12-25,IBIT,21703692,347262491,5002915500
2024-12-26,IBIT,10096871,342246385,5013012371
2024-12-27,IBIT,19172949,344555768,5032185320
2024-12-28,IBIT,24475666,339895857,5056660986
2024-12-31,IBIT,23204640,345514369,5079865626
2025-01-01,IBIT,12637475,345956457,5092503101
2025-01-02,IBIT,11305594,350843028,5103808695
2025-01-03,IBIT,23431586,358486924,5127240281
2025-01-04,IBIT,20484023,359637088,5147724304
2025-01-07,IBIT,21672186,357855440,5169396490
2025-01-08,IBIT,22985642,370884098,5192382132
2025-01-09,IBIT,12025832,371646129,5204407964
2025-01-10,IBIT,35142329,385381936,5239550293
2025-01-11,IBIT,25370139,393034931,5264920432
2025-01-14,IBIT,12269044,378637855,5277189476
2025-01-15,IBIT,22478150,380532370,5299667626
2025-01-16,IBIT,22930417,393226953,5322598043
2025-01-17,IBIT,26156359,409043734,5348754402
2025-01-18,IBIT,17272189,414441574,5366026591
2025-01-21,IBIT,19880953,423963198,5385907544
2025-01-22,IBIT,25086734,429782470,5410994278
2025-01-23,IBIT,11964217,420042995,5422958495
2025-01-24,IBIT,26917392,436863516,5449875887
2025-01-25,IBIT,7744146,425434713,5457620033
2025-01-28,IBIT,14709951,415668998,5472329984
2025-01-29,IBIT,19521388,411985746,5491851372
2025-01-30,IBIT,17818083,417166354,5509669455
2025-01-31,IBIT,10255054,416115814,5519924509
2025-02-01,IBIT,5900708,398584936,5525825217
2025-02-04,IBIT,6522624,384623537,5532347841
2025-02-05,IBIT,8326755,371278106,5540674596
2025-02-06,IBIT,11010460,359302924,5551685056
2025-02-07,IBIT,23157567,370434659,5574842623
2025-02-08,IBIT,9035298,344327628,5583877921
2025-02-11,IBIT,15244000,334201489,5599121921
2025-02-12,IBIT,11901173,333833618,5611023094
2025-02-13,IBIT,26340647,337696115,5637363741
2025-02-14,IBIT,30146983,344912681,5667510724
2025-02-15,IBIT,10412367,329168689,5677923091
2025-02-18,IBIT,11161892,323058392,5689084983
2025-02-19,IBIT,29263779,332441218,5718348762
2025-02-20,IBIT,21762862,329117346,5740111624
2025-02-21,IBIT,9308730,326461859,5749420354
2025-02-22,IBIT,12346337,311890804,5761766691
2025-02-25,IBIT,21934419,326081077,5783701110
2025-02-26,IBIT,19485248,330856374,5803186358
2025-02-27,IBIT,24737065,336072051,5827923423
2025-02-28,IBIT,28684446,346938414,5856607869
2025-03-01,IBIT,6599941,343283301,5863207810
2025-03-04,IBIT,24615744,361998337,5887823554
2025-03-05,IBIT,12729410,368205123,5900552964
2025-03-06,IBIT,27214603,387092971,5927767567
2025-03-07,IBIT,15849454,391931965,5943617021
2025-03-08,IBIT,34179329,402953727,5977796350
2025-03-10,IBIT,10901630,404820059,5988697980
2025-03-11,IBIT,12955239,402531298,6001653219
2025-03-12,IBIT,33955138,424585263,6035608357
2025-03-13,IBIT,16916354,415160970,6052524711
2025-03-14,IBIT,28918399,413932386,6081443110
2025-03-17,IBIT,10442496,413962515,6091885606
2025-03-18,IBIT,19745566,422546189,6111631172
2025-03-19,IBIT,8124000,401406410,6119755172
2025-03-20,IBIT,19165951,398809499,6138921123
2025-03-21,IBIT,16024759,405525528,6154945882
2025-03-24,IBIT,21480213,414659404,6176426095
2025-03-25,IBIT,11507711,404232696,6187933806
2025-03-26,IBIT,28803583,413551031,6216737389
2025-03-27,IBIT,18233855,407047821,6234971244
2025-03-28,IBIT,14964119,393327494,6249935363
2025-03-31,IBIT,19967610,406695163,6269902973
2025-04-01,IBIT,21889660,403969079,6291792633
2025-04-02,IBIT,8739569,399979238,6300532202
2025-04-03,IBIT,22991174,395755809,6323523376
2025-04-04,IBIT,7836675,387743030,6331360051
2025-04-07,IBIT,17450284,371013985,6348810335
2025-04-08,IBIT,13267413,373379768,6362077748
2025-04-09,IBIT,18484302,378908831,6380562050
2025-04-10,IBIT,13230469,358184162,6393792519
2025-04-11,IBIT,20925339,362193147,6414717858
2025-04-14,IBIT,23949170,357223918,6438667028
2025-04-15,IBIT,24240596,371022018,6462907624
2025-04-16,IBIT,8282497,359558949,6471190121
2025-04-17,IBIT,15646146,367081095,6486836267
2025-04-18,IBIT,14951124,362866268,6501787391
2025-04-21,IBIT,11064170,357905679,6512851561
2025-04-22,IBIT,17359447,353784913,6530211008
2025-04-23,IBIT,21793688,364070890,6552004696
2025-04-24,IBIT,10824182,346091489,6562828878
2025-04-25,IBIT,32135709,359993343,6594964587
2025-04-28,IBIT,19833311,364862535,6614797898
2025-04-29,IBIT,33463061,378357986,6648260959
2025-04-30,IBIT,14305486,370773812,6662566445
2025-05-01,IBIT,25959224,387993467,6688525669
2025-05-02,IBIT,26762906,391765199,6715288575
2025-05-05,IBIT,28853445,412781969,6744142020
2025-05-06,IBIT,14702277,410033962,6758844297
2025-05-07,IBIT,5976587,402743136,6764820884
2025-05-08,IBIT,28405350,412664184,6793226234
2025-05-09,IBIT,11273954,410707669,6804500188
2025-05-12,IBIT,21075584,410857914,6825575772
2025-05-13,IBIT,22933751,409842495,6848509523
2025-05-14,IBIT,16087041,401688940,6864596564
2025-05-15,IBIT,16981499,410387942,6881578063
2025-05-16,IBIT,7608463,402350259,6889186526
2025-05-19,IBIT,15876583,403275718,6905063109
2025-05-20,IBIT,16558836,408770384,6921621945
2025-05-21,IBIT,22885708,414296645,6944507653
2025-05-22,IBIT,7347468,399850425,6951855121
2025-05-23,IBIT,21558550,410584793,6973413671
2025-05-26,IBIT,22018513,400467597,6995432184
2025-05-27,IBIT,27356002,407990288,7022788186
2025-05-28,IBIT,20598554,395125781,7043386740
2025-05-29,IBIT,16414766,397235061,7059801506
2025-05-30,IBIT,21504581,392780418,7081306087
2025-06-02,IBIT,22889203,388906715,7104195290
2025-06-03,IBIT,33034536,393087806,7137229826
2025-06-04,IBIT,18428952,396814481,7155658778
2025-06-05,IBIT,30013369,420851263,7185672147
2025-06-06,IBIT,10677855,403123768,7196350002
2025-06-09,IBIT,9238444,401088258,7205588446
2025-06-10,IBIT,11845644,391858318,7217434090
2025-06-11,IBIT,18488068,387412635,7235922158
2025-06-12,IBIT,19549745,390875339,7255471903
2025-06-13,IBIT,9598748,383492588,7265070651
2025-06-16,IBIT,12769665,388653790,7277840316
2025-06-17,IBIT,16222439,388999646,7294062755
2025-06-18,IBIT,6602453,379043263,7300665208
2025-06-19,IBIT,20923395,377080950,7321588603
2025-06-20,IBIT,17298823,387032305,7338887426
2025-06-23,IBIT,26555604,392029359,7365443030
2025-06-24,IBIT,11060026,381070872,7376503056
2025-06-25,IBIT,13845109,367559979,7390348165
2025-06-26,IBIT,27264421,374225846,7417612586
2025-06-27,IBIT,9625673,367436753,7427238259
2025-06-30,IBIT,9880097,355812269,7437118356
2025-07-01,IBIT,19798780,352721846,7456917136
2025-07-02,IBIT,22425783,342113093,7479342919
2025-07-03,IBIT,19222885,342907026,7498565804
2025-07-04,IBIT,23960476,336854133,7522526280
2025-07-07,IBIT,18062253,344238531,7540588533
2025-07-08,IBIT,9534786,344534873,7550123319
2025-07-09,IBIT,14158443,346847672,7564281762
2025-07-10,IBIT,10919492,339279096,7575201254
2025-07-11,IBIT,11991589,331720940,7587192843
2025-07-14,IBIT,20856416,342978608,7608049259
2025-07-15,IBIT,20952252,351161195,7629001511
2025-07-16,IBIT,30332497,365271253,7659334008
2025-07-17,IBIT,30407072,389075872,7689741080
2025-07-18,IBIT,23964043,392116520,7713705123
2025-07-21,IBIT,24185314,399003011,7737890437
2025-07-22,IBIT,17372274,389819681,7755262711
2025-07-23,IBIT,19362880,398122535,7774625591
2025-07-24,IBIT,22574943,406852369,7797200534
2025-07-25,IBIT,13306373,392894321,7810506907
2025-07-28,IBIT,26806099,410074747,7837313006
2025-07-29,IBIT,14791396,414986046,7852104402
2025-07-30,IBIT,15143891,410331157,7867248293
2025-07-31,IBIT,9549174,397454548,7876797467
2025-08-01,IBIT,13256822,391488485,7890054289
2025-08-04,IBIT,9243276,376771285,7899297565
2025-08-05,IBIT,32745179,391454211,7932042744
2025-08-06,IBIT,25794518,407713943,7957837262
2025-08-07,IBIT,15655645,409211145,7973492907
2025-08-08,IBIT,20768554,419060207,7994261461
2025-08-11,IBIT,17780079,424848697,8012041540
2025-08-12,IBIT,6769877,410762158,8018811417
2025-08-13,IBIT,20307850,410117756,8039119267
2025-08-14,IBIT,11532608,391317867,8050651875
2025-08-15,IBIT,21564284,382475079,8072216159
2025-08-18,IBIT,15937415,374448451,8088153574
2025-08-19,IBIT,24991603,375254740,8113145177
2025-08-20,IBIT,9943980,367826446,8123089157
2025-08-21,IBIT,12266025,360729591,8135355182
2025-08-22,IBIT,13624749,351779397,8148979931
2025-08-25,IBIT,20329086,358802110,8169309017
2025-08-26,IBIT,13658030,345654041,8182967047
2025-08-27,IBIT,10139431,341002076,8193106478
2025-08-28,IBIT,7189884,333048069,8200296362
2025-08-29,IBIT,10964864,334463759,8211261226
2025-09-01,IBIT,16812513,338019450,8228073739
2025-09-02,IBIT,8267223,337043397,8236340962
2025-09-03,IBIT,22525715,326823933,8258866677
2025-09-04,IBIT,7655721,308685136,8266522398
2025-09-05,IBIT,15289506,308318997,8281811904
2025-09-08,IBIT,9988284,297538727,8291800188
2025-09-09,IBIT,13171503,292930151,8304971691
2025-09-10,IBIT,24026928,310187202,8328998619
2025-09-11,IBIT,29041820,318921172,8358040439
2025-09-12,IBIT,22725535,330114099,8380765974
2025-09-15,IBIT,20209710,328759525,8400975684
2025-09-16,IBIT,15572239,328394349,8416547923
2025-09-17,IBIT,15350067,318752813,8431897990
2025-09-18,IBIT,21806059,330614892,8453704049
2025-09-19,IBIT,8246810,326595677,8461950859
2025-09-22,IBIT,26691571,339662499,8488642430
2025-09-23,IBIT,21740121,341073534,8510382551
2025-09-24,IBIT,19470051,346885555,8529852602
2025-09-25,IBIT,20848086,357594210,8550700688
2024-01-11,FBTC,37653595,0,37653595
2024-01-12,FBTC,18252450,0,55906045
2024-01-13,FBTC,27989870,0,83895915
2024-01-16,FBTC,43495180,0,127391095
2024-01-17,FBTC,16264477,0,143655572
2024-01-18,FBTC,19411150,0,163066722
2024-01-19,FBTC,24139564,0,187206286
2024-01-20,FBTC,26229095,0,213435381
2024-01-23,FBTC,20765983,0,234201364
2024-01-24,FBTC,29300273,0,263501637
2024-01-25,FBTC,30804132,0,294305769
2024-01-26,FBTC,25747818,0,320053587
2024-01-27,FBTC,24923693,0,344977280
2024-01-30,FBTC,14387290,0,359364570
2024-01-31,FBTC,33154510,0,392519080
2024-02-01,FBTC,25000570,0,417519650
2024-02-02,FBTC,33816015,0,451335665
2024-02-03,FBTC,14461126,0,465796791
2024-02-06,FBTC,33778942,0,499575733
2024-02-07,FBTC,22652289,0,522228022
2024-02-08,FBTC,35331178,557559200,557559200
2024-02-09,FBTC,35725861,555631466,593285061
2024-02-10,FBTC,29821639,567200655,623106700
2024-02-13,FBTC,16475405,555686190,639582105
2024-02-14,FBTC,11397706,523588716,650979811
2024-02-15,FBTC,10118633,517442872,661098444
2024-02-16,FBTC,11518005,509549727,672616449
2024-02-17,FBTC,14427503,499837666,687043952
2024-02-20,FBTC,10877792,484486363,697921744
2024-02-21,FBTC,8030569,471750949,705952313
2024-02-22,FBTC,20260807,462711483,726213120
2024-02-23,FBTC,21166281,453073632,747379401
2024-02-24,FBTC,11746035,439071849,759125436
2024-02-27,FBTC,24396787,438544943,783522223
2024-02-28,FBTC,16378161,440535814,799900384
2024-02-29,FBTC,11568212,418949516,811468596
2024-03-01,FBTC,15232478,409181424,826701074
2024-03-02,FBTC,29926032,405291441,856627106
2024-03-05,FBTC,18800185,409630500,875427291
2024-03-06,FBTC,22036734,397888292,897464025
2024-03-07,FBTC,17610454,392846457,915074479
2024-03-08,FBTC,29624921,387140200,944699400
2024-03-09,FBTC,10735448,362149787,955434848
2024-03-11,FBTC,18469358,350797506,973904206
2024-03-12,FBTC,15034169,349356270,988938375
2024-03-13,FBTC,5837074,343795638,994775449
2024-03-14,FBTC,13895637,347572642,1008671086
2024-03-15,FBTC,16844016,352898653,1025515102
2024-03-18,FBTC,15411953,353883103,1040927055
2024-03-19,FBTC,10617257,353622568,1051544312
2024-03-20,FBTC,18790983,364382982,1070335295
2024-03-21,FBTC,24166128,368288303,1094501423
2024-03-22,FBTC,29489520,376611542,1123990943
2024-03-25,FBTC,23632684,388498191,1147623627
2024-03-26,FBTC,13388151,377489555,1161011778
2024-03-27,FBTC,9524263,370635657,1170536041
2024-03-28,FBTC,20435738,379503183,1190971779
2024-03-29,FBTC,13299570,377570275,1204271349
2024-04-01,FBTC,28776163,376420406,1233047512
2024-04-02,FBTC,30070432,387690653,1263117944
2024-04-03,FBTC,17943267,383597186,1281061211
2024-04-04,FBTC,7171846,373158578,1288233057
2024-04-05,FBTC,13362782,356896439,1301595839
2024-04-08,FBTC,9889844,356050835,1311485683
2024-04-09,FBTC,23071986,360653463,1334557669
2024-04-10,FBTC,7037172,352656466,1341594841
2024-04-11,FBTC,8331020,355150412,1349925861
2024-04-12,FBTC,5816693,347071468,1355742554
2024-04-15,FBTC,12440186,342667638,1368182740
2024-04-16,FBTC,15656052,342911737,1383838792
2024-04-17,FBTC,5563325,337857805,1389402117
2024-04-18,FBTC,10224862,329291684,1399626979
2024-04-19,FBTC,14513329,319638885,1414140308
2024-04-22,FBTC,16680673,306830038,1430820981
2024-04-23,FBTC,4732536,287929890,1435553517
2024-04-24,FBTC,9883284,284425023,1445436801
2024-04-25,FBTC,17454553,292355313,1462891354
2024-04-26,FBTC,12755362,284674937,1475646716
2024-04-29,FBTC,12918828,284294195,1488565544
2024-04-30,FBTC,21861495,277379527,1510427039
2024-05-01,FBTC,15863226,263172321,1526290265
2024-05-02,FBTC,15173472,260402526,1541463737
2024-05-03,FBTC,8083107,261313787,1549546844
2024-05-06,FBTC,12830917,260781922,1562377761
2024-05-07,FBTC,12963860,263855938,1575341621
2024-05-08,FBTC,4832762,245616714,1580174383
2024-05-09,FBTC,17099366,255678908,1597273749
2024-05-10,FBTC,8212756,255560644,1605486505
2024-05-13,FBTC,7778198,257522149,1613264703
2024-05-14,FBTC,15805633,260887596,1629070336
2024-05-15,FBTC,12659960,257891504,1641730296
2024-05-16,FBTC,9876485,262204664,1651606781
2024-05-17,FBTC,8252023,260231825,1659858804
2024-05-20,FBTC,8593005,254311501,1668451809
2024-05-21,FBTC,11925023,249555851,1680376832
2024-05-22,FBTC,12769281,257592596,1693146113
2024-05-23,FBTC,10500553,258209865,1703646666
2024-05-24,FBTC,12885724,253641036,1716532390
2024-05-27,FBTC,10726697,251612371,1727259087
2024-05-28,FBTC,11963078,250656621,1739222165
2024-05-29,FBTC,17737789,246532915,1756959954
2024-05-30,FBTC,8283408,238953097,1765243362
2024-05-31,FBTC,18042139,241821764,1783285501
2024-06-03,FBTC,24269634,258008291,1807555135
2024-06-04,FBTC,8562547,253739921,1816117682
2024-06-05,FBTC,5765873,246541934,1821883555
2024-06-06,FBTC,8173185,249882357,1830056740
2024-06-07,FBTC,19756005,252538996,1849812745
2024-06-10,FBTC,14458711,258784951,1864271456
2024-06-11,FBTC,7840413,258847166,1872111869
2024-06-12,FBTC,9589560,252631093,1881701429
2024-06-13,FBTC,18570737,258541870,1900272166
2024-06-14,FBTC,23940892,272606277,1924213058
2024-06-17,FBTC,12918790,277273044,1937131848
2024-06-18,FBTC,10565191,279245230,1947697039
2024-06-19,FBTC,10398745,277718952,1958095784
